"Risk_ID,Risk_Title,Risk_Description,Risk_Category,Sub_Category,Sector,Department_Unit,Project_Name,Project_Code,Project_Phase,Process_Group,Risk_Owner,Stakeholder_Group,Date_Identified,Probability_Rating,Impact_Rating,Risk_Score,Qualitative_Notes,Quantitative_Notes,Mitigation_Strategy,Contingency_Plan,Risk_Status,Review_Date,Monitoring_Method,Control_Method,Documentation_Link,Lessons_Learned,Source_Type,Data_Quality_Flag,RMS_Step_Primary,RMS_Step_Identification,RMS_Step_Analysis_Qualitative,RMS_Step_Analysis_Quantitative,RMS_Step_Response_Planning,RMS_Step_Monitoring,RMS_Step_Controlling,RMS_Step_Documentation"
"CS001,Cloud Misconfiguration,Public cloud storage exposes sensitive data,Cybersecurity,Cloud Security,Technology,Cybersecurity Operations,SecureCloud Initiative,SC-2025,Execution,Monitoring,Cloud Architect,IT Security Team,2025-09-24,4,5,20,High exposure due to lack of access controls,Estimated 1.2M records at risk,Automated cloud posture scanning,Restrict access and rotate credentials,Open,2025-10-01,SIEM Alerts,Encryption & IAM,https://securecloud/docs/cs001,Review cloud IAM policies quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS002,Phishing Campaign,Employees targeted by deceptive emails,Cybersecurity,Social Engineering,Technology,Security Awareness,PhishShield Program,PS-2025,Execution,Execution,Training Manager,All Staff,2025-09-24,4,4,16,Recurring attacks bypass basic filters,Click rate 12% in last simulation,Simulated phishing and awareness training,Disable compromised accounts and reset credentials,Open,2025-10-01,User Reporting,Email Filtering,https://phishshield/docs/cs002,Need stronger user training,External Threat Feed,Verified,Identification,Yes,Yes,No,Yes,Yes,Yes,Yes"
"CS003,Ransomware Threat,Malware encrypts critical systems,Cybersecurity,Endpoint Protection,Technology,IT Infrastructure,RansomBlock Initiative,RB-2025,Planning,Response Planning,Security Lead,IT Ops,2025-09-24,3,5,15,High-value systems vulnerable to lateral movement,Potential downtime: 72 hours,Endpoint protection and network segmentation,Restore from backups and notify CERT,Open,2025-10-01,Threat Intel Feed,Antivirus & EDR,https://ransomblock/docs/cs003,Segment critical assets early,External Threat Feed,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS004,Zero-Day Exploit,Unknown vulnerability exploited in production,Cybersecurity,Vulnerability Management,Technology,DevSecOps,SecureCode Initiative,SC-2025,Design,Identification,DevSecOps Lead,Engineering,2025-09-24,2,5,10,No patch available at time of detection,Exploit detected in SIEM logs,Threat intel feeds and virtual patching,Deploy WAF rules and monitor anomalies,Open,2025-10-01,SIEM Alerts,WAF & Patch Mgmt,https://securecode/docs/cs004,Monitor threat feeds daily,External Threat Feed,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS005,Insider Threat,Privileged user leaks confidential data,Cybersecurity,Identity & Access,Technology,HR & Security,TrustWatch Program,TW-2025,Execution,Controlling,HR Manager,Privileged Users,2025-09-24,2,5,10,Behavioral anomalies detected in logs,Potential IP loss: $500K,Role-based access and user behavior analytics,Revoke access and initiate HR investigation,Open,2025-10-01,UEBA Alerts,Access Control,https://trustwatch/docs/cs005,Monitor privileged access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS006,Third-Party Risk,Vendor systems introduce vulnerabilities,Cybersecurity,Supplier Risk,Technology,Procurement,VendorTrust Framework,VTF-2025,Initiation,Identification,Procurement Officer,Third-Party Vendors,2025-09-24,3,4,12,Vendor lacks SOC 2 compliance,Exposure to shared infrastructure,Vendor risk assessments and SLA enforcement,Disconnect vendor access and perform forensic analysis,Open,2025-10-01,Vendor Audits,Contractual Controls,https://vendortrust/docs/cs006,Enforce vendor onboarding checklist,External Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS007,Credential Theft,Admin credentials compromised via brute force,Cybersecurity,Identity & Access,Technology,IT Operations,IdentityGuard Project,IG-2025,Execution,Controlling,Security Analyst,Admin Team,2025-09-24,3,5,15,Weak password policy detected,Admin access used for lateral movement,Enforce MFA and password rotation,Lock accounts and perform credential reset,Open,2025-10-01,Login Monitoring,MFA & Password Policy,https://identityguard/docs/cs007,Audit privileged access quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS008,DDoS Attack,External actors flood network with traffic,Cybersecurity,Network Security,Technology,Network Engineering,DDoSShield Project,DS-2025,Execution,Monitoring,Network Engineer,ISP & Clients,2025-09-24,3,3,9,Traffic spike detected in logs,Service outage: 4 hours,Deploy anti-DDoS services and traffic filtering,Switch to backup network and inform ISP,Open,2025-10-01,Traffic Logs,DDoS Mitigation Tools,https://ddosshield/docs/cs008,Use geo-blocking for known sources,External Threat Feed,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS009,Compliance Failure,Non-adherence to GDPR or local regulations,Cybersecurity,Regulatory Risk,Technology,Compliance,PrivacyGuard Initiative,PG-2025,Monitoring,Controlling,Compliance Officer,Legal & Privacy,2025-09-24,2,4,8,Missing consent logs and audit trail,Potential fines: €250K,Regular audits and legal reviews,Notify regulators and initiate corrective actions,Open,2025-10-01,Audit Logs,Policy Enforcement,https://privacyguard/docs/cs009,Maintain consent logs in secure archive,External Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS010,Malware Infection,Malicious code spreads via USB device,Cybersecurity,Endpoint Protection,Technology,IT Support,MalwareBlock Program,MB-2025,Execution,Execution,IT Support Lead,All Staff,2025-09-24,3,4,12,Uncontrolled USB access detected,Infection across 12 devices,Disable USB ports and deploy endpoint protection,Isolate infected devices and reimage,Open,2025-10-01,Device Logs,Antivirus & USB Policy,https://malwareblock/docs/cs010,Restrict removable media usage,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
