"Risk_ID,Risk_Title,Risk_Description,Risk_Category,Sub_Category,Sector,Department_Unit,Project_Name,Project_Code,Project_Phase,Process_Group,Risk_Owner,Stakeholder_Group,Date_Identified,Probability_Rating,Impact_Rating,Risk_Score,Qualitative_Notes,Quantitative_Notes,Mitigation_Strategy,Contingency_Plan,Risk_Status,Review_Date,Monitoring_Method,Control_Method,Documentation_Link,Lessons_Learned,Source_Type,Data_Quality_Flag,RMS_Step_Primary,RMS_Step_Identification,RMS_Step_Analysis_Qualitative,RMS_Step_Analysis_Quantitative,RMS_Step_Response_Planning,RMS_Step_Monitoring,RMS_Step_Controlling,RMS_Step_Documentation"
"SD001,Unscoped Feature Creep,New features added without formal approval,Delivery Risk,Scope Management,IT Software & Development,Product Management,Agile Excellence Program,AEP-2025,Execution,Controlling,Product Owner,Engineering,2025-09-24,3,4,12,Timeline and budget overrun,Lack of scope discipline,Enforce change control and backlog grooming,Reject unapproved features and notify stakeholders,Open,2025-10-05,Backlog Audit,Change Control Policy,https://agileexcellence/docs/sd001,Weekly backlog review,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,No,Yes,No"
"SD002,Unstable Build Pipeline,CI/CD pipeline fails intermittently,Delivery Risk,DevOps Reliability,IT Software & Development,Engineering,Platform Resilience Program,PRP-2025,Execution,Monitoring,DevOps Lead,QA Team,2025-09-24,4,3,12,Delayed deployments and broken releases,Unreliable build triggers and flaky tests,Refactor pipeline and enforce test stability,Isolate flaky tests and monitor build health,Open,2025-10-07,CI Logs,Pipeline Policy,https://platformresilience/docs/sd002,Daily build health check,Internal Audit,Verified,Identification,Yes,Yes,Yes,No,No,Yes,No"
"SD003,Unassigned Technical Debt,Legacy code lacks ownership and roadmap,Delivery Risk,Code Quality,IT Software & Development,Engineering,CodeCare Initiative,CCI-2025,Planning,Controlling,Tech Lead,Engineering,2025-09-24,3,4,12,Reduced velocity and increased bugs,No ownership of refactoring backlog,Assign debt items to squads and track in Jira,Create debt roadmap and review quarterly,Open,2025-10-10,Jira Tickets,Refactoring Policy,https://codecare/docs/sd003,Quarterly debt review,Internal Audit,Verified,Identification,Yes,Yes,Yes,No,No,Yes,No"
"SD004,Unverified Third-Party Library,External package used without validation,Delivery Risk,Dependency Management,IT Software & Development,Engineering,OpenSourceGuard Program,OSG-2025,Execution,Monitoring,Engineering Manager,Security Team,2025-09-24,4,3,12,Security and licensing exposure,No validation of external libraries,Enforce dependency scanning and license checks,Replace unverified packages and notify legal,Open,2025-10-12,Package Logs,Open Source Policy,https://opensourceguard/docs/sd004,Monthly dependency audit,External Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"SD005,Untracked Environment Drift,Staging and prod configs diverge,Delivery Risk,Environment Management,IT Software & Development,DevOps,ConfigSync Program,CSP-2025,Execution,Monitoring,DevOps Lead,QA Team,2025-09-24,3,4,12,Unexpected bugs in production,Manual config changes and lack of sync,Automate config sync and enforce IaC,Audit environments and align configs,Open,2025-10-08,Config Files,Environment Policy,https://configsync/docs/sd005,Weekly config diff check,Internal Audit,Verified,Identification,Yes,Yes,Yes,No,No,Yes,No"
"SD006,Unprioritized Backlog,Backlog items lack prioritization and grooming,Delivery Risk,Agile Planning,IT Software & Development,Product Management,SprintFlow Program,SFP-2025,Planning,Initiation,Scrum Master,Engineering,2025-09-24,4,3,12,Team works on low-value items,No prioritization framework,Implement MoSCoW or WSJF prioritization,Conduct backlog refinement workshops,Open,2025-10-06,Backlog Review,Agile Planning Policy,https://sprintflow/docs/sd006,Prioritization improves sprint outcomes,Internal Audit,Verified,Identification,Yes,Yes,Yes,No,No,Yes,No"
"SD007,Unclear Acceptance Criteria,User stories lack testable acceptance criteria,Delivery Risk,Requirements Quality,IT Software & Development,Product Management,Agile Excellence Program,AEP-2025,Planning,Initiation,Product Owner,QA Team,2025-09-24,3,4,12,Defects due to vague requirements,Ambiguous story definitions,Enforce Gherkin-style criteria and peer review,Reject stories without clear acceptance,Open,2025-10-07,Story Audit,Requirements Policy,https://agileexcellence/docs/sd007,Clarity reduces rework,Internal Audit,Verified,Identification,Yes,Yes,Yes,No,No,Yes,No"
"SD008,Unmonitored Feature Flags,Feature flags left active in production,Delivery Risk,Release Management,IT Software & Development,Engineering,FeatureControl Program,FCP-2025,Execution,Monitoring,Tech Lead,DevOps Team,2025-09-24,3,3,9,Unexpected behavior in live systems,Flags not retired post-release,Track flags and enforce lifecycle rules,Audit flags and disable stale ones,Open,2025-10-09,Flag Logs,Feature Flag Policy,https://featurecontrol/docs/sd008,Flag hygiene improves stability,Internal Audit,Verified,Identification,Yes,Yes,Yes,No,No,Yes,No"
"SD009,Unaligned Sprint Goals,Sprint goals not linked to roadmap,Delivery Risk,Agile Execution,IT Software & Development,Product Management,Agile Excellence Program,AEP-2025,Execution,Controlling,Scrum Master,Engineering,2025-09-24,3,3,9,Teams deliver low-impact work,No alignment with strategic objectives,Link sprint goals to quarterly OKRs,Review goals with leadership,Open,2025-10-08,Sprint Review,Goal Alignment Policy,https://agileexcellence/docs/sd009,Alignment boosts team focus,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,No,Yes,No"
"SD010,Unmanaged Merge Conflicts,Frequent code conflicts during integration,Delivery Risk,Version Control,IT Software & Development,Engineering,CodeCare Initiative,CCI-2025,Execution,Monitoring,Tech Lead,Engineering,2025-09-24,4,3,12,Delays and bugs from unresolved conflicts,Poor branching strategy,Adopt GitFlow and enforce code reviews,Train teams on merge resolution,Open,2025-10-10,Git Logs,Branching Policy,https://codecare/docs/sd010,Structured branching reduces conflict,Internal Audit,Verified,Identification,Yes,Yes,Yes,No,No,Yes,No"
